Income,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Education,Wines,Fruits,Meat,Fish,Sweets,Gold
65486.0,66.0,507.0,0,1,2,1,0,245,19,125,37,67,14
79143.0,59.0,1693.0,1,0,2,0,1,650,37,780,27,167,32
35790.0,46.0,72.0,0,1,2,1,0,12,6,20,30,1,3
82582.0,46.0,1617.0,0,0,1,0,0,510,120,550,156,40,241
66373.0,45.0,606.0,1,2,4,1,0,328,9,124,12,24,109
82384.0,68.0,1957.0,1,0,2,0,1,984,51,432,180,120,190
70287.0,57.0,1093.0,0,0,1,0,0,295,35,482,121,120,40
27938.0,35.0,29.0,0,1,2,1,0,13,0,8,2,1,5
52247.25135379061,41.0,46.0,0,1,2,1,0,11,3,22,2,2,6
55954.0,55.0,518.0,1,1,3,1,1,447,0,28,0,0,43
75777.0,41.0,1438.0,0,0,1,0,1,712,26,538,69,13,80
66653.0,48.0,612.0,1,2,4,1,0,452,18,102,16,18,6
61823.0,71.0,884.0,0,1,2,1,0,523,7,134,37,14,169
67680.0,72.0,606.0,0,1,2,1,1,546,0,48,0,6,6
70666.0,75.0,1076.0,1,0,2,0,0,398,40,367,119,122,30
25721.0,52.0,34.0,1,1,3,1,0,1,3,6,3,6,15
32474.0,56.0,11.0,1,2,4,1,0,10,0,1,0,0,0
88194.0,44.0,1274.0,0,1,2,1,2,688,14,309,201,24,38
69096.0,65.0,653.0,1,1,3,1,0,247,49,159,7,82,109
74854.0,53.0,1562.0,1,3,5,1,0,856,59,487,58,29,73
66991.0,69.0,1253.0,1,0,2,0,1,496,36,460,189,60,12
52247.25135379061,50.0,109.0,1,1,3,1,2,25,3,43,17,4,17
65031.0,64.0,863.0,1,1,3,1,0,258,107,291,84,37,86
60631.0,48.0,661.0,1,2,4,1,1,565,6,65,0,6,19
28332.0,71.0,65.0,1,0,2,0,0,14,10,13,4,15,9
40246.0,46.0,13.0,0,1,2,1,0,2,1,6,2,1,1
75251.0,51.0,1890.0,1,0,2,0,1,721,111,925,97,18,18
75825.0,47.0,2209.0,0,0,1,0,0,1032,105,779,137,105,51
26326.0,47.0,18.0,1,0,2,0,2,1,0,5,0,3,9
56046.0,58.0,692.0,1,0,2,0,0,577,0,64,0,0,51
29760.0,38.0,165.0,0,1,2,1,0,64,4,68,7,5,17
26304.0,54.0,16.0,1,1,3,1,0,4,1,5,2,0,4
23559.0,50.0,79.0,1,1,3,1,2,25,5,19,7,0,23
38620.0,60.0,318.0,1,0,2,0,1,112,17,44,34,22,89
81361.0,36.0,778.0,0,0,1,0,0,163,23,424,27,65,76
29440.0,63.0,56.0,1,2,4,1,0,17,8,14,10,4,3
36138.0,53.0,151.0,1,2,4,1,1,130,0,16,0,0,5
50388.0,66.0,372.0,0,1,2,1,0,292,6,37,0,3,34
79593.0,50.0,1366.0,1,0,2,0,0,350,60,568,110,133,145
54178.0,56.0,194.0,1,1,3,1,0,135,9,39,4,0,7
52247.25135379061,66.0,603.0,1,3,5,1,1,230,42,192,49,37,53
52247.25135379061,66.0,18.0,0,2,3,1,0,7,0,8,2,0,1
52247.25135379061,50.0,985.0,1,0,2,0,1,445,37,359,98,28,18
42394.0,51.0,32.0,0,1,2,1,1,15,2,10,0,1,4
23626.0,53.0,43.0,1,1,3,1,1,27,2,14,0,0,0
30096.0,40.0,45.0,1,1,3,1,0,5,3,11,12,5,9
47916.0,63.0,606.0,0,1,2,1,0,505,0,26,0,0,75
51813.0,51.0,63.0,0,2,3,1,0,51,2,7,0,1,2
78497.0,72.0,978.0,1,0,2,0,2,207,26,447,75,0,223
50150.0,40.0,410.0,1,0,2,0,1,135,46,92,65,61,11
47823.0,63.0,72.0,0,1,2,1,2,53,1,5,2,1,10
34554.0,64.0,55.0,0,1,2,1,1,41,1,6,2,0,5
85693.0,44.0,1169.0,1,1,3,1,0,386,172,183,185,132,111
65846.0,78.0,1120.0,1,0,2,0,1,562,81,276,80,40,81
87195.0,64.0,1097.0,1,0,2,0,0,217,76,690,50,26,38
24594.0,44.0,29.0,1,1,3,1,2,1,3,6,10,0,9
49096.0,59.0,187.0,1,2,4,1,0,144,1,32,2,1,7
52413.0,54.0,910.0,1,2,4,1,0,295,106,271,75,98,65
38557.0,45.0,145.0,0,1,2,1,0,76,3,31,4,4,27
89058.0,63.0,850.0,1,0,2,0,1,454,194,106,31,22,43
77298.0,44.0,969.0,1,1,3,1,0,425,115,292,23,35,79
68126.0,32.0,1820.0,0,0,1,0,1,1332,17,311,23,51,86
57288.0,60.0,608.0,1,1,3,1,1,527,0,21,0,0,60
86037.0,32.0,730.0,0,0,1,0,0,490,44,125,29,20,22
43974.0,43.0,551.0,1,1,3,1,1,378,0,101,0,0,72
50785.0,61.0,114.0,0,2,3,1,0,64,1,21,0,1,27
90765.0,53.0,1724.0,1,0,2,0,0,547,99,812,151,82,33
36550.0,45.0,577.0,1,1,3,1,2,47,90,94,123,103,120
30753.0,56.0,81.0,1,2,4,1,2,12,5,25,0,9,30
21918.0,54.0,33.0,1,1,3,1,0,1,6,7,11,5,3
56129.0,70.0,660.0,1,1,3,1,1,320,48,133,39,72,48
32557.0,56.0,80.0,0,1,2,1,1,34,3,29,0,4,10
19510.0,38.0,30.0,1,2,4,1,1,9,0,7,3,4,7
30992.0,47.0,43.0,0,1,2,1,0,17,0,14,7,3,2
101970.0,40.0,1135.0,0,0,1,0,0,722,27,102,44,72,168
71488.0,58.0,559.0,1,0,2,0,2,162,33,124,40,28,172
79607.0,39.0,1923.0,0,0,1,0,0,450,133,951,173,0,216
54348.0,70.0,90.0,1,2,4,1,1,70,0,16,0,0,4
52247.25135379061,62.0,404.0,1,1,3,1,1,352,0,27,10,0,15
77376.0,67.0,661.0,1,2,4,1,1,492,19,110,16,12,12
62998.0,71.0,463.0,1,1,3,1,0,120,58,73,65,89,58
61331.0,65.0,632.0,0,2,3,1,1,534,5,47,0,5,41
73448.0,54.0,725.0,1,0,2,0,0,236,106,189,23,41,130
52247.25135379061,60.0,725.0,1,1,3,1,0,231,65,196,38,71,124
41551.0,59.0,279.0,1,2,4,1,1,220,0,33,3,0,23
62981.0,56.0,1482.0,1,0,2,0,1,796,14,590,38,44,0
9548.0,47.0,29.0,0,1,2,1,2,0,1,3,10,6,9
33762.0,64.0,106.0,1,3,5,1,1,53,1,34,2,0,16
35860.0,50.0,49.0,0,2,3,1,1,15,0,8,4,2,20
36921.0,58.0,38.0,0,2,3,1,1,17,1,12,3,1,4
92859.0,31.0,2077.0,0,0,1,0,1,962,61,921,52,61,20
65104.0,47.0,1053.0,1,1,3,1,1,738,0,232,13,20,50
86111.0,61.0,1385.0,1,0,2,0,0,399,28,756,36,40,126
68352.0,49.0,871.0,0,1,2,1,1,614,16,132,43,33,33
41883.0,35.0,312.0,1,1,3,1,0,32,34,41,73,16,116
59809.0,47.0,877.0,1,2,4,1,0,598,16,141,32,41,49
23957.0,48.0,68.0,1,1,3,1,0,2,1,18,20,11,16
38547.0,42.0,22.0,1,1,3,1,0,6,1,10,0,1,4
35688.0,50.0,211.0,1,3,5,1,2,73,3,90,12,1,32
49605.0,57.0,127.0,1,0,2,0,1,42,16,29,12,20,8
59354.0,70.0,459.0,1,2,4,1,1,295,21,78,39,13,13
65747.0,54.0,460.0,1,1,3,1,0,346,17,48,23,13,13
46344.0,51.0,429.0,1,1,3,1,2,233,20,57,8,20,91
34176.0,35.0,89.0,0,1,2,1,0,5,7,24,19,14,20
61010.0,71.0,1021.0,1,1,3,1,1,888,0,57,0,0,76
69372.0,74.0,1381.0,1,0,2,0,0,997,26,269,34,13,42
49967.0,65.0,306.0,0,1,2,1,0,212,6,69,4,12,3
60199.0,45.0,18.0,0,3,4,1,0,8,1,7,2,0,0
55375.0,46.0,162.0,1,1,3,1,0,42,11,57,10,28,14
80317.0,68.0,1231.0,0,0,1,0,0,536,11,387,149,91,57
30523.0,65.0,13.0,0,3,4,1,1,5,0,3,0,0,5
70356.0,78.0,1706.0,1,0,2,0,1,1349,16,249,43,16,33
23228.0,39.0,121.0,1,1,3,1,0,53,3,49,7,4,5
74165.0,48.0,1293.0,0,0,1,0,1,1001,12,240,16,12,12
51741.5,50.0,1608.0,1,1,3,1,1,20,2,1582,1,2,1
43482.0,57.0,88.0,1,3,5,1,0,18,1,32,6,3,28
62551.0,70.0,421.0,0,0,1,0,0,125,16,98,134,21,27
52332.0,64.0,259.0,0,0,1,0,0,212,5,33,7,0,2
66951.0,35.0,1117.0,0,0,1,0,0,277,162,305,173,76,124
26091.0,66.0,89.0,1,2,4,1,0,15,10,19,8,17,20
33456.0,58.0,36.0,1,2,4,1,0,7,3,10,8,1,7
28718.0,41.0,57.0,1,1,3,1,0,12,4,6,11,8,16
50447.0,53.0,148.0,1,2,4,1,0,85,7,24,2,3,27
53537.0,64.0,93.0,1,2,4,1,1,81,0,6,0,0,6
52074.0,56.0,119.0,0,1,2,1,0,59,0,12,0,0,48
80427.0,48.0,1835.0,1,1,3,1,1,1149,71,449,69,71,26
83837.0,75.0,1318.0,1,0,2,0,1,847,66,119,86,89,111
38853.0,53.0,45.0,1,2,4,1,1,29,0,14,0,0,2
38285.0,64.0,10.0,1,3,5,1,0,2,0,5,2,0,1
78497.0,72.0,978.0,1,0,2,0,2,207,26,447,75,0,223
51650.0,47.0,191.0,1,1,3,1,1,152,3,22,2,5,7
16248.0,35.0,57.0,1,1,3,1,2,12,11,10,3,12,9
66835.0,77.0,1033.0,1,0,2,0,1,620,26,195,34,17,141
30477.0,39.0,66.0,1,1,3,1,1,47,1,6,0,0,12
28249.0,62.0,43.0,1,0,2,0,2,1,9,7,2,14,10
25271.0,40.0,50.0,1,1,3,1,0,10,1,18,10,4,7
32303.0,53.0,39.0,0,1,2,1,1,35,0,2,0,0,2
61286.0,57.0,608.0,1,1,3,1,0,356,0,107,19,9,117
74068.0,47.0,1581.0,1,0,2,0,0,783,30,537,140,76,15
45759.0,59.0,68.0,1,2,4,1,1,42,1,18,3,0,4
24882.0,45.0,80.0,1,1,3,1,2,1,4,10,29,0,36
66973.0,34.0,1282.0,1,0,2,0,1,466,22,432,147,113,102
36640.0,53.0,65.0,0,1,2,1,2,15,6,8,7,4,25
38872.0,35.0,91.0,1,1,3,1,0,23,3,21,3,19,22
51148.0,50.0,315.0,1,2,4,1,0,235,6,45,8,9,12
31353.0,46.0,31.0,1,2,4,1,0,10,0,10,3,1,7
69661.0,43.0,834.0,1,0,2,0,1,656,16,106,32,16,8
80067.0,69.0,1600.0,1,0,2,0,0,519,17,813,27,173,51
86718.0,69.0,1270.0,1,0,2,0,0,344,189,482,50,33,172
46854.0,50.0,263.0,0,2,3,1,1,96,1,79,7,1,79
69142.0,71.0,535.0,0,1,2,1,0,448,4,34,6,4,39
75922.0,55.0,1295.0,0,0,1,0,0,265,138,553,224,23,92
63693.0,45.0,1150.0,0,1,2,1,0,587,43,337,42,87,54
102160.0,46.0,1240.0,1,0,2,0,1,763,29,138,76,176,58
40637.0,58.0,38.0,0,2,3,1,1,22,0,13,0,0,3
18890.0,39.0,35.0,0,0,1,0,1,6,4,1,7,2,15
29604.0,35.0,53.0,1,1,3,1,0,7,6,13,7,6,14
48721.0,60.0,293.0,0,2,3,1,1,81,18,113,47,13,21
44794.0,57.0,65.0,1,1,3,1,0,54,0,7,0,0,4
64497.0,69.0,1804.0,0,1,2,1,0,1170,48,320,42,32,192
46097.0,67.0,241.0,1,1,3,1,0,72,24,68,65,4,8
77972.0,69.0,1101.0,1,0,2,0,0,613,22,319,33,102,12
44377.0,55.0,264.0,1,2,4,1,1,224,0,30,0,0,10
46014.0,49.0,541.0,1,2,4,1,1,410,0,59,19,9,44
70951.0,38.0,1198.0,1,0,2,0,0,239,10,554,254,87,54
41443.0,46.0,482.0,1,1,3,1,0,171,7,171,25,19,89
52195.0,45.0,17.0,0,3,4,1,2,12,0,4,0,0,1
83790.0,75.0,1615.0,1,0,2,0,1,1076,16,417,42,48,16
44551.0,69.0,285.0,0,1,2,1,1,182,4,33,0,0,66
69508.0,43.0,1135.0,1,1,3,1,0,824,32,162,42,32,43
45204.0,35.0,114.0,1,1,3,1,2,30,11,25,29,1,18
72460.0,54.0,1047.0,1,0,2,0,0,377,10,540,80,30,10
77622.0,53.0,714.0,1,2,4,1,1,520,7,154,19,0,14
30732.0,43.0,185.0,1,1,3,1,1,155,1,25,0,1,3
63887.0,61.0,1245.0,0,1,2,1,0,897,23,207,15,11,92
42011.0,45.0,189.0,1,1,3,1,0,131,0,16,2,1,39
51369.0,47.0,576.0,1,1,3,1,0,297,7,79,0,11,182
51537.0,71.0,1103.0,0,1,2,1,0,787,20,204,0,0,92
79930.0,51.0,1753.0,1,0,2,0,1,792,86,740,67,51,17
34320.0,37.0,17.0,1,1,3,1,1,4,1,9,3,0,0
37070.0,57.0,433.0,0,2,3,1,0,231,7,137,4,15,39
81975.0,61.0,1588.0,0,1,2,1,2,983,76,184,180,138,27
38590.0,52.0,22.0,1,1,3,1,0,3,1,8,4,3,3
15033.0,72.0,19.0,0,0,1,0,0,0,4,5,6,0,4
62745.0,58.0,1117.0,1,1,3,1,1,562,21,464,28,10,32
22212.0,48.0,69.0,1,1,3,1,2,5,9,20,6,8,21
23661.0,41.0,23.0,1,1,3,1,1,18,0,4,0,0,1
79761.0,65.0,605.0,0,1,2,1,1,415,5,124,15,35,11
7500.0,50.0,57.0,0,1,2,1,0,5,3,10,12,7,20
60182.0,53.0,22.0,0,1,2,1,2,8,0,5,7,0,2
73455.0,55.0,2088.0,0,0,1,0,0,901,61,757,186,163,20
64961.0,65.0,1009.0,1,1,3,1,0,382,114,276,75,124,38
22804.0,52.0,26.0,0,1,2,1,0,14,1,7,2,1,1
73687.0,33.0,1627.0,1,0,2,0,0,559,153,503,218,13,181
61074.0,65.0,1102.0,1,1,3,1,0,789,0,133,0,28,152
31686.0,59.0,17.0,1,2,4,1,1,11,0,5,0,0,1
80134.0,51.0,1690.0,1,1,3,1,0,1218,16,272,104,0,80
75027.0,70.0,1390.0,1,1,3,1,0,925,64,179,133,12,77
67546.0,35.0,2126.0,1,0,2,0,1,864,134,768,150,38,172
65176.0,54.0,1531.0,1,1,3,1,1,960,28,183,220,70,70
31160.0,48.0,64.0,0,1,2,1,1,16,3,25,6,1,13
29938.0,38.0,26.0,0,1,2,1,0,3,3,7,0,2,11
102692.0,49.0,1112.0,0,0,1,0,0,168,148,444,32,172,148
26490.0,65.0,210.0,1,0,2,0,2,45,47,52,21,20,25
75702.0,56.0,1148.0,1,2,4,1,0,650,28,353,45,42,30
30899.0,49.0,33.0,0,1,2,1,1,24,0,8,0,0,1
63342.0,62.0,1101.0,1,1,3,1,1,918,21,118,13,10,21
45989.0,59.0,322.0,0,1,2,1,0,138,33,87,28,24,12
18701.0,59.0,44.0,0,2,3,1,0,12,4,2,10,6,10
40737.0,66.0,17.0,0,3,4,1,1,11,0,4,0,0,2
15287.0,44.0,31.0,0,1,2,1,0,1,2,8,4,3,13
69674.0,55.0,845.0,0,2,3,1,1,554,41,215,11,0,24
44159.0,53.0,275.0,1,1,3,1,1,167,2,62,24,13,7
37717.0,45.0,25.0,1,1,3,1,1,9,0,6,4,1,5
43776.0,71.0,275.0,1,2,4,1,1,177,2,71,3,2,20
38179.0,57.0,90.0,1,2,4,1,1,38,4,22,4,2,20
80124.0,60.0,1495.0,1,0,2,0,0,483,84,398,205,84,241
38097.0,53.0,184.0,1,2,4,1,1,77,2,35,0,1,69
72940.0,53.0,981.0,1,0,2,0,0,182,74,298,162,149,116
22070.0,53.0,67.0,1,1,3,1,0,10,7,19,8,2,21
69267.0,70.0,1635.0,0,0,1,0,0,778,44,499,95,73,146
31788.0,40.0,60.0,0,1,2,1,1,16,7,23,0,8,6
61905.0,48.0,231.0,1,1,3,1,1,167,0,43,6,2,13
29315.0,63.0,48.0,1,2,4,1,0,13,2,14,8,7,4
33378.0,60.0,99.0,0,2,3,1,0,33,6,40,3,7,10
66313.0,60.0,770.0,1,1,3,1,1,625,7,99,10,22,7
60714.0,67.0,957.0,0,0,1,0,0,216,162,224,101,92,162
77882.0,42.0,818.0,1,0,2,0,1,68,129,396,188,22,15
69867.0,37.0,925.0,0,0,1,0,1,196,0,512,33,130,54
63841.0,55.0,908.0,0,1,2,1,1,635,15,100,20,7,131
24480.0,42.0,102.0,1,1,3,1,2,4,19,9,28,25,17
51369.0,47.0,576.0,1,1,3,1,0,297,7,79,0,11,182
37760.0,77.0,317.0,1,0,2,0,0,84,5,38,150,12,28
65640.0,49.0,461.0,1,1,3,1,1,204,7,149,20,15,66
44319.0,48.0,37.0,1,2,4,1,1,26,0,8,0,0,3
30631.0,49.0,70.0,1,1,3,1,0,15,6,20,4,5,20
75278.0,71.0,930.0,1,0,2,0,0,304,98,230,150,74,74
50898.0,67.0,859.0,1,2,4,1,1,285,28,242,55,114,135
79946.0,57.0,1478.0,0,0,1,0,0,395,183,565,166,141,28
35416.0,74.0,390.0,0,0,1,0,1,248,3,81,4,3,51
32414.0,39.0,52.0,1,0,2,0,2,20,6,5,0,9,12
38361.0,54.0,137.0,1,1,3,1,0,39,0,56,20,8,14
82497.0,43.0,1919.0,1,0,2,0,0,777,129,573,216,21,203
16626.0,52.0,68.0,1,2,4,1,0,8,3,22,21,1,13
29672.0,58.0,25.0,1,2,4,1,0,9,1,3,0,4,8
55951.0,71.0,1374.0,1,1,3,1,1,1241,0,80,0,13,40
35388.0,35.0,32.0,0,1,2,1,2,6,4,7,4,3,8
42386.0,37.0,100.0,1,1,3,1,1,65,4,16,0,4,11
68627.0,41.0,825.0,0,0,1,0,0,395,15,263,60,54,38
57912.0,58.0,916.0,0,1,2,1,1,801,0,80,0,0,35
35246.0,65.0,62.0,0,2,3,1,0,36,0,12,2,2,10
58821.0,67.0,728.0,1,1,3,1,2,513,14,154,19,0,28
46377.0,45.0,90.0,1,1,3,1,1,37,0,46,4,3,0
39747.0,35.0,273.0,0,1,2,1,0,80,15,93,20,13,52
23976.0,39.0,66.0,1,1,3,1,0,14,1,21,2,3,25
80950.0,62.0,1213.0,1,0,2,0,1,525,147,112,219,147,63
27038.0,57.0,107.0,0,0,1,0,0,1,26,25,17,23,15
77457.0,76.0,1157.0,0,0,1,0,0,675,11,400,15,45,11
64100.0,59.0,546.0,1,1,3,1,1,509,0,27,0,0,10
42670.0,31.0,241.0,1,0,2,0,1,154,2,46,20,4,15
12571.0,47.0,53.0,0,1,2,1,0,3,5,14,2,12,17
22574.0,56.0,37.0,1,3,5,1,0,25,0,8,2,0,2
52247.25135379061,34.0,1611.0,1,0,2,0,0,861,138,461,60,30,61
70893.0,47.0,1508.0,0,0,1,0,1,768,44,561,77,44,14
54198.0,57.0,235.0,1,2,4,1,0,185,0,28,3,2,17
28839.0,67.0,32.0,1,2,4,1,1,24,0,7,0,0,1
40321.0,51.0,102.0,1,2,4,1,0,44,4,21,6,0,27
66503.0,38.0,401.0,0,1,2,1,0,91,64,128,65,3,50
30833.0,72.0,28.0,1,2,4,1,0,11,0,7,3,1,6
52247.25135379061,53.0,1052.0,0,3,4,1,0,738,20,172,52,50,20
64795.0,52.0,680.0,1,1,3,1,0,412,5,119,38,29,77
34421.0,49.0,30.0,1,1,3,1,0,3,3,7,6,2,9
47025.0,58.0,20.0,0,2,3,1,1,16,0,3,0,0,1
64325.0,62.0,1307.0,0,1,2,1,1,731,60,353,78,12,73
40464.0,70.0,630.0,0,1,2,1,0,424,17,118,7,23,41
62187.0,66.0,1283.0,1,0,2,0,0,792,0,275,45,45,126
14849.0,47.0,65.0,0,1,2,1,1,21,2,28,3,2,9
27255.0,39.0,37.0,1,1,3,1,0,22,1,11,0,1,2
54432.0,73.0,38.0,1,3,5,1,1,33,0,5,0,0,0
29999.0,37.0,160.0,0,1,2,1,1,68,7,59,10,5,11
24072.0,40.0,23.0,0,1,2,1,0,9,1,6,3,0,4
33996.0,34.0,71.0,0,0,1,0,1,40,2,15,8,0,6
66334.0,67.0,1161.0,1,1,3,1,1,909,11,218,0,0,23
35178.0,52.0,59.0,1,1,3,1,1,23,1,13,2,2,18
22010.0,40.0,33.0,1,1,3,1,0,11,2,9,3,0,8
62204.0,63.0,946.0,0,2,3,1,0,317,46,247,151,46,139
75693.0,55.0,1442.0,0,0,1,0,0,797,153,293,72,97,30
30675.0,51.0,62.0,1,1,3,1,0,10,2,16,11,2,21
83003.0,58.0,1674.0,1,0,2,0,0,856,61,570,40,25,122
83532.0,53.0,1853.0,1,0,2,0,1,755,144,562,104,64,224
68655.0,35.0,1538.0,0,0,1,0,0,456,19,832,75,118,38
41411.0,37.0,139.0,0,0,1,0,0,37,32,38,11,3,18
55212.0,54.0,1182.0,1,1,3,1,1,1103,0,45,0,0,34
59292.0,73.0,507.0,1,1,3,1,1,378,14,68,19,14,14
27190.0,50.0,18.0,1,1,3,1,2,1,6,7,0,1,3
82623.0,71.0,940.0,0,0,1,0,0,204,34,204,172,153,173
44300.0,58.0,42.0,1,2,4,1,0,30,0,9,0,0,3
84835.0,53.0,1190.0,0,0,1,0,0,189,104,379,111,189,218
30372.0,52.0,44.0,0,2,3,1,0,15,0,12,7,3,7
33181.0,47.0,16.0,1,1,3,1,1,9,0,3,0,0,4
71113.0,66.0,835.0,1,1,3,1,0,495,33,255,11,33,8
71952.0,37.0,1443.0,1,1,3,1,0,656,80,455,52,107,93
69759.0,57.0,1029.0,0,0,1,0,1,452,20,514,13,30,0
72099.0,49.0,1188.0,1,0,2,0,0,546,91,410,119,0,22
60000.0,47.0,1277.0,0,1,2,1,1,1048,0,217,0,0,12
38643.0,45.0,49.0,0,2,3,1,0,22,2,14,0,1,10
50737.0,68.0,99.0,1,1,3,1,0,78,0,11,0,0,10
68462.0,54.0,1670.0,1,0,2,0,1,561,64,785,84,128,48
65073.0,80.0,900.0,1,0,2,0,1,629,17,177,69,0,8
46681.0,75.0,425.0,1,2,4,1,1,269,15,69,15,19,38
78618.0,66.0,2153.0,1,0,2,0,0,736,163,818,212,163,61
62187.0,54.0,636.0,0,1,2,1,1,512,0,83,0,0,41
28442.0,45.0,57.0,1,2,4,1,0,19,3,10,11,8,6
37717.0,45.0,25.0,1,1,3,1,1,9,0,6,4,1,5
51479.0,56.0,494.0,1,2,4,1,0,247,8,160,6,8,65
54803.0,54.0,693.0,0,1,2,1,0,404,0,92,28,27,142
79530.0,63.0,1348.0,1,0,2,0,0,333,0,815,129,42,29
31615.0,47.0,51.0,0,1,2,1,0,2,3,20,6,11,9
72025.0,61.0,1932.0,1,0,2,0,0,833,33,549,151,133,233
52614.0,48.0,990.0,0,1,2,1,1,789,0,142,12,9,38
35684.0,39.0,30.0,1,1,3,1,2,10,4,7,0,6,3
48178.0,48.0,254.0,1,2,4,1,0,159,4,45,6,2,38
29548.0,53.0,29.0,0,1,2,1,1,7,1,6,3,1,11
63810.0,57.0,1371.0,0,1,2,1,0,977,12,253,16,12,101
38578.0,51.0,73.0,0,2,3,1,1,38,4,22,3,3,3
46098.0,48.0,120.0,0,2,3,1,1,57,0,27,0,0,36
22585.0,53.0,81.0,0,0,1,0,0,3,9,15,13,2,39
30279.0,34.0,37.0,0,1,2,1,0,10,4,14,4,4,1
66426.0,62.0,1377.0,1,1,3,1,1,1043,24,97,32,24,157
30822.0,54.0,51.0,0,1,2,1,0,3,9,13,2,12,12
33581.0,54.0,17.0,1,2,4,1,1,11,0,5,0,0,1
19986.0,38.0,22.0,1,1,3,1,0,3,6,5,0,2,6
27421.0,69.0,324.0,0,0,1,0,0,43,12,96,78,40,55
35688.0,50.0,211.0,1,3,5,1,2,73,3,90,12,1,32
36143.0,42.0,19.0,0,1,2,1,1,12,0,1,0,0,6
10245.0,52.0,41.0,0,1,2,1,0,4,7,7,6,4,13
43795.0,55.0,492.0,1,1,3,1,1,314,11,53,4,3,107
63381.0,63.0,1005.0,1,1,3,1,0,571,50,142,33,50,159
38823.0,74.0,114.0,1,1,3,1,0,70,0,11,2,8,23
83664.0,55.0,1173.0,0,2,3,1,1,866,21,151,28,21,86
90300.0,44.0,1738.0,1,0,2,0,0,594,134,786,33,134,57
62499.0,44.0,222.0,1,1,3,1,1,140,4,61,0,13,4
